Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 31,0.203378817,CCOc1ccccc1NC(=O)/C=C/C(=O)N,C12H14N2O3,234.25,17,6,0.17,6,3,2,64.1,81.42,1.98,0.61,0.87,0.67,1.05,1.03,-1.54,6.73E+00,2.87E-02,Very soluble,-1.89,2.99E+00,1.28E-02,Very soluble,-2.62,5.66E-01,2.42E-03,Soluble,High,No,No,No,No,No,No,No,-7.3,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 32,0.13,O=C(Nc1ccc(cc1)C)/C=C/C(=O)N,C11H12N2O2,204.23,15,6,0.09,4,2,2,57.77,72.19,1.2,0.82,0.78,0.95,1.1,0.97,-1.65,4.52E+00,2.21E-02,Very soluble,-1.92,2.47E+00,1.21E-02,Very soluble,-2.47,6.92E-01,3.39E-03,Soluble,High,No,No,No,No,No,No,No,-6.96,0,0,0,0,0,0.55,0,1,1,1.71
Molecule 33,0.14114514,CN(c1ccc(cc1)NC(=O)/C=C/C(=O)O)C,C12H14N2O3,234.25,17,6,0.17,5,3,2,65.87,69.64,1.51,0.77,1.14,1.07,0.52,1,-1.71,4.58E+00,1.96E-02,Very soluble,-1.81,3.61E+00,1.54E-02,Very soluble,-1.98,2.45E+00,1.05E-02,Soluble,High,No,No,No,No,No,No,No,-7.18,0,0,0,0,0,0.85,1,1,1,1.95
Molecule 34,0.230283912,S=C1NC(=O)/C(=C\c2cccnc2)/N1,C9H7N3OS,205.24,14,6,0,1,2,2,63.25,86.11,1.04,0.61,-0.44,-0.31,2.29,0.64,-1.75,3.67E+00,1.79E-02,Very soluble,-1.99,2.09E+00,1.02E-02,Very soluble,-2.98,2.17E-01,1.06E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.12,0,1,0,0,0,0.55,0,2,1,2.51
Molecule 35,0.184803606,COC(=O)C(Sc1nc2c([nH]1)cccc2)C,C11H12N2O2S,236.29,16,9,0.27,4,3,1,63.52,80.28,2.18,2.65,2.22,1.5,2.45,2.2,-3.13,1.76E-01,7.47E-04,Soluble,-3.99,2.43E-02,1.03E-04,Soluble,-3.54,6.8E-02,2.88E-04,Soluble,High,No,No,Yes,Yes,No,No,No,-5.86,0,0,0,0,0,0.55,0,0,1,2.63
Molecule 36,0.341391509,C=CCNc1[nH]c2c(n1)n(C)c(=O)[nH]c2=O,C9H11N5O2,221.22,16,9,0.22,3,3,3,60.68,95.57,1.14,0.24,-0.64,-0.07,1.01,0.33,-1.58,5.81E+00,2.62E-02,Very soluble,-1.81,3.45E+00,1.56E-02,Very soluble,-2.45,7.8E-01,3.52E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.48,0,1,0,0,0,0.55,0,1,1,2.3
Molecule 37,0.198713826,N#Cc1cccc(c1C#N)[N+](=O)[O-],C8H3N3O2,173.13,13,6,0,1,4,0,44.69,93.4,0.88,0.74,1.34,0.49,-0.37,0.62,-1.66,3.83E+00,2.21E-02,Very soluble,-2.28,9.08E-01,5.24E-03,Soluble,-1.95,1.96E+00,1.13E-02,Soluble,High,No,No,Yes,No,No,No,Yes,-6.83,0,1,0,0,1,0.55,0,2,1,2.05
Molecule 38,0.192915876,N#CCc1nc2c(n1C)cccc2,C10H9N3,171.2,13,9,0.2,1,2,0,50.52,41.61,1.49,1.13,1.64,0.97,1.71,1.39,-2.06,1.49E+00,8.72E-03,Soluble,-1.6,4.32E+00,2.53E-02,Very soluble,-2.96,1.89E-01,1.1E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.54,0,0,0,0,1,0.55,0,0,1,1.58
Molecule 39,0.241048593,Cc1nc(N/N=C/c2ccc(c(c2)O)O)nc(c1)O,C12H12N4O3,260.25,19,12,0.08,3,6,4,70.54,110.86,1.73,1.82,1.16,-0.07,1.02,1.13,-2.87,3.51E-01,1.35E-03,Soluble,-3.77,4.44E-02,1.71E-04,Soluble,-2.98,2.73E-01,1.05E-03,Soluble,High,No,No,No,No,No,No,No,-6.6,0,0,0,0,0,0.55,2,2,0,2.7
Molecule 40,0.240993789,[O-]S(=O)(=O)c1nc2c(s1)cccc2.[K+],C7H4KNO3S2,253.34,14,9,0,1,4,0,47.63,106.71,-4.45,1.51,2.28,0.58,1.47,0.28,-2.77,4.29E-01,1.69E-03,Soluble,-3.36,1.11E-01,4.37E-04,Soluble,-2.33,1.19E+00,4.71E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.77,0,1,0,0,0,0.55,0,1,0,2.6
Molecule 41,0.101182654,CCOC(=O)NC(=C(Cl)Cl)C#N,C6H6Cl2N2O2,209.03,12,0,0.33,4,3,1,44.3,62.12,1.88,1.84,1.9,0.43,0.78,1.37,-2.03,1.95E+00,9.31E-03,Soluble,-2.77,3.59E-01,1.72E-03,Soluble,-1.83,3.11E+00,1.49E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.27,0,1,0,0,0,0.55,0,1,1,2.81
Molecule 42,0.10571241,N#CC(=C(Cl)Cl)NC(=O)C(C)(C)C,C8H10Cl2N2O,221.08,13,0,0.5,3,2,1,52.18,52.89,2.04,2.48,2.32,1.09,1.58,1.9,-2.58,5.88E-01,2.66E-03,Soluble,-3.24,1.29E-01,5.82E-04,Soluble,-2.51,6.88E-01,3.11E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.89,0,0,0,0,0,0.55,0,1,1,2.41
Molecule 43,0.201799486,C=CCNC(=S)NNC(=O)c1ccc(cc1)[N+](=O)[O-],C11H12N4O3S,280.3,19,6,0.09,8,3,3,75.6,131.07,1.96,1.61,0.89,1.6,-0.16,1.18,-2.3,1.41E+00,5.04E-03,Soluble,-3.97,2.97E-02,1.06E-04,Soluble,-2.88,3.68E-01,1.31E-03,Soluble,High,No,No,No,No,No,No,No,-6.87,0,0,0,0,0,0.55,0,4,1,2.51
Molecule 44,0.143047239,O=C(Nc1ccc(cc1)C)/C=C/C(=O)O,C11H11NO3,205.21,15,6,0.09,4,3,2,56.63,66.4,1.18,1.47,1.38,1.35,1.34,1.34,-2.07,1.75E+00,8.5E-03,Soluble,-2.47,6.94E-01,3.38E-03,Soluble,-2.25,1.14E+00,5.56E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.51,0,0,0,0,0,0.85,0,1,1,1.68
Molecule 45,0.117056856,O=C(NC1CCCCC1)/C=C/C(=O)O,C10H15NO3,197.23,14,0,0.6,4,3,2,52.37,66.4,1.58,1.12,1.08,0.66,0.94,1.07,-1.5,6.17E+00,3.13E-02,Very soluble,-2.11,1.54E+00,7.8E-03,Soluble,-0.79,3.24E+01,1.64E-01,Soluble,High,No,No,No,No,No,No,No,-6.71,0,0,0,0,1,0.85,0,1,1,1.98
Molecule 46,0.139141743,Oc1ccc(cc1)/C=[N+](/c1ccccc1)\[O-],C13H11NO2,213.23,16,12,0,2,2,1,65.53,48.98,1.98,1.61,2.65,2.54,1.18,1.99,-2.6,5.36E-01,2.52E-03,Soluble,-2.25,1.2E+00,5.62E-03,Soluble,-3.87,2.89E-02,1.36E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.46,0,0,0,0,0,0.55,0,3,1,2.35
Molecule 47,0.171936759,O=C(Nc1ccc(cc1)N1CCOCC1)/C=C/C(=O)O,C14H16N2O4,276.29,20,6,0.29,5,4,2,77.39,78.87,1.62,0.61,0.53,0.4,0.95,0.82,-1.83,4.09E+00,1.48E-02,Very soluble,-1.84,3.99E+00,1.44E-02,Very soluble,-2.05,2.49E+00,8.99E-03,Soluble,High,No,No,No,No,No,No,No,-7.55,0,0,0,0,0,0.56,1,1,0,2.28
Molecule 48,0.187258687,COC(=O)CNc1ccccc1C(=O)O,C10H11NO4,209.2,15,6,0.2,5,4,2,53.61,75.63,1.61,1.93,0.78,-0.12,0.71,0.98,-2.32,1E+00,4.8E-03,Soluble,-3.14,1.51E-01,7.21E-04,Soluble,-2.31,1.02E+00,4.89E-03,Soluble,High,No,No,No,No,No,No,No,-6.21,0,0,0,0,0,0.56,0,0,1,1.59
Molecule 49,0.183776933,O=NN(c1ccccn1)c1ccccc1,C11H9N3O,199.21,15,12,0,3,3,0,58.61,45.56,2.33,2.57,2.9,1.96,1.6,2.27,-3.09,1.63E-01,8.16E-04,Soluble,-3.17,1.33E-01,6.69E-04,Soluble,-3.83,2.91E-02,1.46E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.69,0,0,0,0,1,0.55,0,1,1,2.46
Molecule 50,0.125896934,OC(=O)C12CC3CC(C1)CC(C2)(C3)Br,C11H15BrO2,259.14,14,0,0.91,1,2,1,58.07,37.3,1.94,2.39,2.8,2.9,2.58,2.52,-2.89,3.37E-01,1.3E-03,Soluble,-2.81,3.97E-01,1.53E-03,Soluble,-2.4,1.04E+00,4.03E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.18,0,0,0,0,0,0.85,0,1,0,4.69
Molecule 51,0.351907935,CCOC(=O)CSc1nnc2c(n1)[nH]c1c2cccc1,C13H12N4O2S,288.32,20,13,0.23,5,5,1,76.62,106.06,2.12,2.21,2.16,1.7,2.62,2.16,-3.17,1.95E-01,6.75E-04,Soluble,-4.07,2.44E-02,8.48E-05,Moderately soluble,-4.83,4.24E-03,1.47E-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.49,0,0,0,0,0,0.55,0,0,0,2.7
Molecule 52,0.273067332,COc1cc(OC)ccc1C=C1C(=O)NC(=S)NC1=O,C13H12N2O4S,292.31,20,6,0.15,3,4,2,83.45,108.75,1.83,1.5,-0.25,0.06,2.76,1.18,-2.62,6.99E-01,2.39E-03,Soluble,-3.39,1.19E-01,4.06E-04,Soluble,-3.76,5.1E-02,1.75E-04,Soluble,High,No,No,Yes,No,No,No,No,-7.02,0,0,0,0,0,0.55,1,3,0,2.52
Molecule 53,0.217142857,S=C1NC(=O)/C(=C\c2cccc(c2)O)/N1,C10H8N2O2S,220.25,15,6,0,1,2,3,67.48,93.45,1.08,1.32,-0.13,0.26,2.3,0.97,-2.27,1.19E+00,5.41E-03,Soluble,-2.88,2.88E-01,1.31E-03,Soluble,-2.77,3.71E-01,1.68E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.71,0,0,0,0,0,0.55,0,2,1,2.56
Molecule 54,0.204472843,O=C(Cc1ccccc1)OCCNC(=O)c1cccnc1.Cl,C16H17ClN2O3,320.77,22,12,0.19,8,4,1,84.39,68.29,0,2.86,2.4,1.54,2.6,1.88,-3.51,1E-01,3.12E-04,Soluble,-3.95,3.57E-02,1.11E-04,Soluble,-5.44,1.16E-03,3.62E-06,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.23,0,0,0,0,0,0.55,0,0,1,2.19
Molecule 55,0.208360129,C=CCc1ccccc1OCC(CN1CCOCC1)O.Cl,C16H24ClNO3,313.82,21,6,0.5,7,4,1,89.79,41.93,0,3.19,1.91,1.48,2.94,1.9,-3.54,8.95E-02,2.85E-04,Soluble,-3.74,5.68E-02,1.81E-04,Soluble,-3.46,1.1E-01,3.5E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.95,0,0,0,0,0,0.55,0,1,0,3.1
Molecule 56,0.208092486,COc1ccccc1NC(=O)C(C(C)C)Br,C12H16BrNO2,286.16,16,6,0.42,5,2,1,69.54,38.33,2.84,3.22,2.86,2.51,2.71,2.83,-3.59,7.35E-02,2.57E-04,Soluble,-3.7,5.74E-02,2.01E-04,Soluble,-4.24,1.63E-02,5.7E-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.76,0,0,0,0,0,0.55,0,1,0,2.4
Molecule 57,0.198045603,COc1ccc(cc1)N1C(=O)C=CC1=O,C11H9NO3,203.19,15,6,0.09,2,3,0,57.5,46.61,2.03,1.06,0.74,0.82,1.24,1.18,-1.93,2.38E+00,1.17E-02,Very soluble,-1.63,4.76E+00,2.34E-02,Very soluble,-2.29,1.05E+00,5.19E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.79,0,0,0,0,0,0.55,0,1,1,1.89
Molecule 58,0.407429245,N#Cc1c(NC(=O)/C=C\C(=O)O)sc2c1CCCC2,C13H12N2O3S,276.31,19,5,0.31,4,4,2,71.69,118.43,1.4,2.38,1.89,0.64,3,1.86,-2.98,2.87E-01,1.04E-03,Soluble,-4.51,8.58E-03,3.1E-05,Moderately soluble,-2.33,1.31E+00,4.73E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.3,0,0,0,0,0,0.56,0,1,0,3.02
Molecule 59,0.134602758,SC(=Nc1ccccc1)NCc1ccccc1,C14H14N2S,242.34,17,12,0.07,4,1,1,75.68,63.19,2.58,3.46,3.24,3.41,3.41,3.22,-3.78,4.02E-02,1.66E-04,Soluble,-4.47,8.24E-03,3.4E-05,Moderately soluble,-5.58,6.36E-04,2.62E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.32,0,0,0,0,0,0.55,0,3,1,2.67
